,FIPS,Census Tract,Pop Density,Income,Age,Household Size,Total Pop,Mexican,Cuban,Dominican,Salvadoran,Colombian,Peruvian,Venezuelan,Indian,Cambodian,Chinese,Filipino,Japanese,Korean,Laotian,Malaysian,Nepalese,Pakistani,Taiwanese,Thai,Vietnamese,Lebanese,Moroccan,Armenian,French,German,Greek,Irish,Italian,Polish,Russian,Turkish,Haitian,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino
924,36047076800,076800,28157.33,42500.0,30.8,2.91,3298,0.454821103699,0.0,0.0,0.0,0.0,1.66767738023,0.0,1.09157064888,0.0,4.66949666465,0.0,0.0,2.09217707702,0.0,0.0,0.0,3.30503335355,0.0,0.0,0.0,0.0,0.0,0.0,0.18192844148,2.24378411158,0.0,2.5166767738,0.879320800485,3.91146149181,8.24742268041,0.0,0.18192844148,77.1679805943,2.91085506367,0.0,11.1582777441,10.4002425713
925,36047077000,077000,52074.49,48611.0,28.6,3.11,3283,5.26957051477,0.0,0.365519342065,1.8580566555,0.121839780688,0.0,1.82759671033,0.791958574475,0.0,0.639658848614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274139506549,0.0,2.65001522997,0.0,1.88851660067,1.76667681998,0.0,1.70575692964,0.0,20.9869022236,17.3621687481,71.9768504417,0.0,2.43679561377,13.4937557112
926,36047077200,077200,20517.08,60518.0,33.2,2.59,3203,0.686856072432,1.99812675617,3.9338120512,0.0,0.0,0.0,0.405869497346,0.999063378083,0.0,0.218545113956,0.343428036216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249765844521,0.530752419607,1.74836091165,0.249765844521,0.655635341867,1.68591945052,3.43428036216,1.65469871995,0.0,18.1392444583,40.3684046207,50.0780518264,0.561973150172,1.56103652825,10.1155167031
927,36047077400,077400,58753.42,57022.0,33.3,2.86,3352,1.64081145585,0.298329355609,1.78997613365,0.0,0.328162291169,0.0,0.0,1.84964200477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96539379475,0.0,0.0,0.0,0.0,0.0,0.0,0.894988066826,0.954653937947,0.745823389021,0.238663484487,0.835322195704,0.208830548926,1.46181384248,0.0,26.9093078759,16.5871121718,66.4677804296,0.0,11.7840095465,8.3830548926
928,36047077600,077600,52300.97,57000.0,41.5,2.2,3767,0.0,0.0,0.637111760021,0.0,0.0265463233342,0.0,0.0,1.32731616671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70772498009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.610565436687,0.0,0.451287496682,0.318555880011,0.929121316698,0.0,0.0,10.4327050703,4.0350411468,86.8064773029,0.0,4.99070878683,6.1322006902
929,36047078000,078000,39558.02,84159.0,39.7,3.4,2513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198965380024,0.0,0.0,0.0,0.875447672105,0.0,0.397930760048,0.795861520096,0.0,0.0,0.0,23.9554317549,3.58137684043,94.1504178273,0.0,0.0,5.13330680462
930,36047078200,078200,78790.39,56618.0,35.6,3.17,5120,0.0,0.17578125,0.15625,0.17578125,0.0,0.0,0.0,0.8203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17578125,0.0,0.0,0.0,0.0,0.0,0.0,18.1640625,0.5078125,95.3515625,0.0,0.8203125,3.8671875
931,36047078400,078400,41163.96,79000.0,41.4,3.29,2661,0.0,0.0,0.526118000752,0.0,0.0,0.0,0.0,0.0,0.0,0.338218714769,0.0,0.187899285983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150319428786,0.0,0.0,0.751597143931,0.0,0.0,0.338218714769,0.338218714769,0.187899285983,0.0,0.0,12.2886133033,3.68282600526,90.3795565577,0.0,0.526118000752,6.65163472379
932,36047078600,078600,75607.05,45114.0,38.3,2.78,4994,5.68682418903,0.0,0.0,0.420504605527,0.0,0.0,0.0,0.440528634361,0.0,2.00240288346,0.0,0.0,0.560672807369,0.0,0.0,0.0,1.60192230677,0.0,0.0,0.0,0.0,0.140168201842,0.0,0.420504605527,1.00120144173,0.0,0.981177412895,0.300360432519,0.420504605527,2.36283540248,0.0,22.7072486984,7.94953944734,70.6647977573,0.0,5.7869443332,14.0368442131
933,36047078800,078800,51335.2,33301.0,36.5,2.7,3114,1.54142581888,0.674373795761,0.481695568401,4.01412973667,0.0,0.0,0.0,0.0,0.0,1.02761721259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321130378934,0.0,0.321130378934,0.0,0.0,0.321130378934,0.0,0.0,26.2684649968,4.75272960822,87.6043673732,0.578034682081,1.02761721259,12.6204238921
934,36047079000,079000,72949.04,41443.0,38.2,2.93,5154,0.717889018238,0.0,1.1253395421,0.0,0.0,0.0,0.426852929763,0.0,0.0,0.523864959255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194024058983,0.0,0.640279394645,0.368645712068,0.504462553357,0.0,0.0,23.0306558013,2.42530073729,90.4152114862,0.0194024058983,2.46410554909,5.02522312767
935,36047079200,079200,47391.46,36982.0,33.6,2.9,3965,6.10340479193,0.0,2.37074401009,1.71500630517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53846153846,0.0,6.50693568726,4.81715006305,0.0,0.0,0.0,13.0390920555,9.15510718789,75.132408575,0.0,0.0,14.1235813367
