PlaceFIPS,TractFIPS,Place_TractID,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev
3651000,36005024502,3651000-36005024502,15.6,35.2,36.8
3651000,36005024600,3651000-36005024600,8.7,33.1,21.8
3651000,36005024700,3651000-36005024700,14.0,32.9,35.3
3651000,36005024800,3651000-36005024800,10.5,35.8,21.8
3651000,36005025000,3651000-36005025000,9.9,36.8,22.6
3651000,36005025100,3651000-36005025100,13.8,33.8,33.2
3651000,36005025200,3651000-36005025200,10.2,35.5,24.9
3651000,36005025300,3651000-36005025300,12.1,32.3,31.7
3651000,36005025400,3651000-36005025400,10.1,36.6,23.7
3651000,36005025500,3651000-36005025500,15.4,36.1,34.6
3651000,36005025600,3651000-36005025600,13.2,37.1,29.5
3651000,36005025700,3651000-36005025700,12.7,32.7,32.4
3651000,36005026100,3651000-36005026100,13.0,34.8,27.6
3651000,36005026300,3651000-36005026300,16.8,39.1,31.3
3651000,36005026400,3651000-36005026400,8.9,33.5,24.4
3651000,36005026500,3651000-36005026500,12.5,33.2,30.2
3651000,36005026601,3651000-36005026601,11.1,37.1,26.0
3651000,36005026602,3651000-36005026602,11.6,36.6,26.6
3651000,36005026701,3651000-36005026701,12.1,33.3,28.6
3651000,36005026702,3651000-36005026702,11.9,32.6,31.0
3651000,36005026900,3651000-36005026900,14.1,34.8,32.7
3651000,36005027300,3651000-36005027300,12.2,33.2,29.7
3651000,36005027401,3651000-36005027401,8.3,34.7,22.1
3651000,36005027402,3651000-36005027402,9.8,37.2,23.0
3651000,36005027600,3651000-36005027600,13.6,35.5,29.5
3651000,36005027700,3651000-36005027700,13.1,34.4,31.6
3651000,36005027900,3651000-36005027900,10.6,33.7,25.2
3651000,36005028100,3651000-36005028100,11.3,37.0,23.9
3651000,36005028300,3651000-36005028300,15.3,36.4,33.1
3651000,36005028400,3651000-36005028400,17.3,42.1,32.4
3651000,36005028500,3651000-36005028500,9.0,32.6,22.9
3651000,36005028600,3651000-36005028600,9.9,35.3,24.0
3651000,36005028700,3651000-36005028700,11.7,35.0,26.8
3651000,36005028800,3651000-36005028800,8.2,34.1,21.0
3651000,36005028900,3651000-36005028900,10.1,32.8,25.2
3651000,36005029301,3651000-36005029301,10.6,39.6,21.0
3651000,36005029302,3651000-36005029302,8.7,35.7,19.9
3651000,36005029500,3651000-36005029500,7.0,30.6,20.3
3651000,36005029600,3651000-36005029600,5.3,23.0,18.8
3651000,36005029700,3651000-36005029700,8.5,35.7,18.9
3651000,36005030000,3651000-36005030000,9.4,33.8,24.2
3651000,36005030100,3651000-36005030100,13.1,42.4,20.5
3651000,36005030200,3651000-36005030200,13.8,34.8,30.0
3651000,36005030701,3651000-36005030701,8.2,34.9,19.9
3651000,36005030900,3651000-36005030900,10.8,40.5,17.3
3651000,36005031000,3651000-36005031000,14.5,40.2,24.6
3651000,36005031200,3651000-36005031200,10.1,35.3,23.1
3651000,36005031400,3651000-36005031400,10.9,36.4,22.6
3651000,36005031600,3651000-36005031600,10.4,34.6,24.4
3651000,36005031800,3651000-36005031800,11.9,37.0,24.9
3651000,36005031900,3651000-36005031900,4.5,20.9,20.6
3651000,36005032300,3651000-36005032300,8.8,35.3,21.4
3651000,36005032400,3651000-36005032400,15.0,36.9,32.5
3651000,36005032600,3651000-36005032600,11.4,36.7,23.6
3651000,36005032800,3651000-36005032800,13.1,35.4,31.1
3651000,36005033000,3651000-36005033000,11.7,34.1,28.9
3651000,36005033201,3651000-36005033201,12.8,35.8,28.9
3651000,36005033202,3651000-36005033202,14.9,37.3,30.3
3651000,36005033400,3651000-36005033400,11.1,32.1,30.1
3651000,36005033500,3651000-36005033500,7.2,31.7,18.8
3651000,36005033600,3651000-36005033600,13.8,34.1,32.6
3651000,36005033700,3651000-36005033700,8.0,33.9,20.6
3651000,36005033800,3651000-36005033800,12.6,32.1,33.2
3651000,36005034000,3651000-36005034000,13.7,33.9,33.6
3651000,36005034200,3651000-36005034200,11.3,31.2,29.8
3651000,36005034300,3651000-36005034300,11.9,36.5,24.9
3651000,36005034400,3651000-36005034400,13.2,34.1,30.5
3651000,36005034500,3651000-36005034500,10.2,35.1,23.3
3651000,36005034800,3651000-36005034800,14.7,34.8,33.2
3651000,36005035000,3651000-36005035000,12.9,32.2,32.7
3651000,36005035100,3651000-36005035100,6.7,27.7,20.9
3651000,36005035600,3651000-36005035600,11.7,31.2,30.2
3651000,36005035800,3651000-36005035800,12.2,31.2,30.6
3651000,36005035900,3651000-36005035900,16.4,36.8,36.2
3651000,36005036000,3651000-36005036000,12.0,34.0,27.6
3651000,36005036100,3651000-36005036100,18.9,39.6,36.4
3651000,36005036300,3651000-36005036300,16.0,35.9,37.2
3651000,36005036400,3651000-36005036400,13.3,32.1,32.0
3651000,36005036501,3651000-36005036501,15.5,34.4,37.8
3651000,36005036502,3651000-36005036502,14.9,34.9,36.2
3651000,36005036700,3651000-36005036700,14.0,33.3,36.2
3651000,36005036800,3651000-36005036800,13.2,31.6,33.4
3651000,36005036901,3651000-36005036901,20.2,40.3,39.2
3651000,36005036902,3651000-36005036902,16.7,36.1,38.5
3651000,36005037000,3651000-36005037000,14.0,33.5,32.8
3651000,36005037100,3651000-36005037100,17.9,38.3,35.3
3651000,36005037200,3651000-36005037200,12.1,31.6,30.9
3651000,36005037300,3651000-36005037300,14.4,34.0,35.2
3651000,36005037400,3651000-36005037400,17.4,37.2,36.1
3651000,36005037504,3651000-36005037504,18.0,38.3,37.7
3651000,36005037600,3651000-36005037600,11.9,31.5,31.1
3651000,36005037800,3651000-36005037800,13.2,32.5,33.9
3651000,36005037900,3651000-36005037900,15.9,34.8,38.1
3651000,36005038000,3651000-36005038000,18.0,37.2,35.8
3651000,36005038100,3651000-36005038100,14.9,35.1,34.9
3651000,36005038200,3651000-36005038200,13.0,31.2,33.8
3651000,36005038301,3651000-36005038301,14.5,34.1,36.2
3651000,36005038302,3651000-36005038302,15.3,34.6,37.0
3651000,36005038500,3651000-36005038500,15.3,35.0,36.8
3651000,36005038600,3651000-36005038600,12.3,30.5,33.1
3651000,36005038700,3651000-36005038700,12.4,32.5,33.3
3651000,36005038800,3651000-36005038800,13.5,32.0,33.3
3651000,36005038900,3651000-36005038900,10.6,30.9,31.3
3651000,36005039000,3651000-36005039000,14.3,32.2,36.5
3651000,36005039100,3651000-36005039100,13.1,34.0,34.0
3651000,36005039200,3651000-36005039200,13.1,31.6,34.8
3651000,36005039300,3651000-36005039300,16.4,37.0,36.8
3651000,36005039400,3651000-36005039400,16.5,36.1,36.1
3651000,36005039500,3651000-36005039500,14.4,34.2,34.2
3651000,36005039600,3651000-36005039600,15.6,34.0,36.1
3651000,36005039700,3651000-36005039700,5.8,22.3,21.1
3651000,36005039800,3651000-36005039800,12.5,30.9,32.1
3651000,36005039901,3651000-36005039901,14.7,35.4,34.1
3651000,36005039902,3651000-36005039902,14.4,34.7,34.4
3651000,36005040100,3651000-36005040100,13.9,34.4,33.6
3651000,36005040302,3651000-36005040302,14.0,34.8,33.5
3651000,36005040303,3651000-36005040303,13.5,34.3,32.7
3651000,36005040304,3651000-36005040304,13.5,34.5,31.9
3651000,36005040400,3651000-36005040400,13.8,32.6,33.3
3651000,36005040501,3651000-36005040501,12.8,32.9,33.0
3651000,36005040502,3651000-36005040502,13.7,33.8,33.8
3651000,36005040600,3651000-36005040600,13.8,32.4,34.6
3651000,36005040701,3651000-36005040701,13.3,34.1,33.4
3651000,36005040702,3651000-36005040702,13.2,34.4,31.7
3651000,36005040800,3651000-36005040800,12.7,31.6,33.6
3651000,36005040900,3651000-36005040900,13.5,35.3,30.4
3651000,36005041100,3651000-36005041100,10.4,31.6,28.4
3651000,36005041300,3651000-36005041300,10.8,32.1,29.0
3651000,36005041400,3651000-36005041400,11.4,31.2,29.8
3651000,36005041500,3651000-36005041500,11.1,32.1,29.2
3651000,36005041800,3651000-36005041800,13.4,33.0,33.5
3651000,36005041900,3651000-36005041900,11.3,32.5,29.0
3651000,36005042000,3651000-36005042000,14.7,34.7,33.8
3651000,36005042100,3651000-36005042100,12.1,33.1,29.2
3651000,36005042200,3651000-36005042200,15.0,34.3,35.2
3651000,36005042300,3651000-36005042300,11.3,32.3,29.8
3651000,36005042400,3651000-36005042400,16.0,36.1,32.9
3651000,36005042500,3651000-36005042500,11.7,32.8,30.3
3651000,36005042600,3651000-36005042600,14.2,33.1,33.0
3651000,36005042800,3651000-36005042800,12.8,32.3,31.3
3651000,36005042901,3651000-36005042901,11.7,32.6,30.2
3651000,36005042902,3651000-36005042902,12.7,33.4,32.4
3651000,36005043000,3651000-36005043000,14.0,33.8,32.2
3651000,36005043100,3651000-36005043100,14.1,35.1,31.2
3651000,36005043400,3651000-36005043400,13.2,33.3,32.1
3651000,36005043600,3651000-36005043600,12.5,32.4,30.7
3651000,36005044200,3651000-36005044200,14.6,33.7,34.5
3651000,36005044400,3651000-36005044400,13.8,33.7,32.1
3651000,36005044800,3651000-36005044800,12.3,31.7,30.2
3651000,36005044901,3651000-36005044901,8.5,34.4,23.3
3651000,36005044902,3651000-36005044902,7.1,31.8,21.7
3651000,36005045101,3651000-36005045101,6.9,31.5,20.6
3651000,36005045102,3651000-36005045102,7.9,33.4,22.0
