FIPS,Census Tract,Pop Density,Income,Age,Household Size,Total Pop,ACS_Mexican,ACS_Cuban,ACS_Dominican,ACS_Salvadoran,ACS_Colombian,ACS_Peruvian,ACS_Venezuelan,ACS_Indian,ACS_Cambodian,ACS_Chinese,ACS_Filipino,ACS_Japanese,ACS_Korean,ACS_Laotian,ACS_Malaysian,ACS_Nepalese,ACS_Pakistani,ACS_Taiwanese,ACS_Thai,ACS_Vietnamese,ACS_Lebanese,ACS_Moroccan,ACS_Armenian,ACS_French,ACS_German,ACS_Greek,ACS_Irish,ACS_Italian,ACS_Polish,ACS_Russian,ACS_Turkish,ACS_Haitian,ACS_White,ACS_Black or African American,ACS_American Indian and Alaska Native,ACS_Asian,ACS_Hispanic or Latino,PlaceFIPS,TractFIPS,Place_TractID,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev,Yelp_Total,Yelp_asian,Yelp_european,Yelp_halal,Yelp_hispanic,Yelp_midmed,Yelp_Armenian,Yelp_Cambodian,Yelp_Caribbean,Yelp_Chinese,Yelp_Colombian,Yelp_Cuban,Yelp_Dominican,Yelp_Filipino,Yelp_French,Yelp_German,Yelp_Greek,Yelp_Haitian,Yelp_Halal,Yelp_Himalayan Nepalese,Yelp_Indian,Yelp_Irish,Yelp_Italian,Yelp_Japanese,Yelp_Jewish,Yelp_Korean,Yelp_Kosher,Yelp_Latin American,Yelp_Lebanese,Yelp_Malaysian,Yelp_Mediterranean,Yelp_Mexican,Yelp_Middle Eastern,Yelp_Moroccan,Yelp_Pakistani,Yelp_Peruvian,Yelp_Polish,Yelp_Puerto Rican,Yelp_Russian,Yelp_Salvadoran,Yelp_Shanghainese,Yelp_Singaporean,Yelp_Taiwanese,Yelp_Thai,Yelp_Turkish,Yelp_Venezuelan,Yelp_Vietnamese,label
36081044601,44601.0,37414.15,34306.0,35.7,2.69,3247.0,14.998460117,0.8007391438249999,8.684939944560004,6.46750846936,1.7246689251599998,0.0,0.0,9.73206036341,0.0,1.44748999076,0.0,0.0,0.8931321219589999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215583615645,0.215583615645,0.0,1.1087157376,0.24638127502300006,0.7083461656910001,0.0,0.0,2.83338466277,28.2722513089,21.7123498614,2.71019402525,21.188789652,52.2944256237,3651000.0,36081044601.0,3651000-36081044601,14.5,36.7,31.6,8.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36081044602,44602.0,73751.22,41322.0,32.8,3.17,4843.0,0.495560602932,0.392318810655,1.52797852571,2.27131943011,2.49845137312,0.474912244477,0.0,11.501135659700001,0.0,1.52797852571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309725376833,0.0,0.0206483584555,0.371670452199,0.0,0.0,0.0,6.50423291348,10.0557505678,27.895932273400003,0.35102209374399995,36.217220731,30.6628123064,3651000.0,36081044602.0,3651000-36081044602,14.0,35.8,31.0,6.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36081044800,44800.0,36558.32,66768.0,35.1,3.85,2936.0,3.3038147139,0.0,0.17029972752,3.95095367847,1.26021798365,0.6811989100820001,1.49863760218,22.7861035422,0.0,0.0,4.1553133514999985,0.0,0.17029972752,0.0,0.0,0.0,1.22615803815,0.0,0.0,0.0,0.0,0.0,0.0,0.17029972752,0.272479564033,2.11171662125,0.17029972752,0.17029972752,1.02179836512,0.204359673025,0.0,1.22615803815,10.456403269800001,8.75340599455,0.7152588555859999,54.4277929155,27.1798365123,3651000.0,36081044800.0,3651000-36081044800,11.7,36.1,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36081045000,45000.0,32840.45,68289.0,39.6,3.78,2183.0,0.183234081539,0.0,1.87814933578,0.458085203848,5.6344480073300005,2.88593678424,0.0,14.154832798900001,0.0,2.15300045809,14.0632157581,0.183234081539,0.5038937242329999,0.0,0.0,0.0,1.05359596885,0.183234081539,0.0,0.0,0.0,0.0,0.0,0.183234081539,0.961978928081,5.08474576271,1.00778744847,2.93174530463,0.366468163078,0.183234081539,0.0,1.19102153,26.568941823200003,4.26019239579,0.0,52.0842876775,27.118644067800002,3651000.0,36081045000.0,3651000-36081045000,9.7,35.0,20.1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
36081045200,45200.0,13251.05,50962.0,54.6,3.77,1096.0,0.36496350365,0.0,0.912408759124,0.0,3.1934306569300004,0.0,0.0,12.9562043796,0.0,1.00364963504,3.2846715328500005,0.0,0.638686131387,0.0,0.0,0.0,1.6423357664200002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02189781022,1.4598540146,7.11678832117,3.4671532846699997,2.37226277372,0.4562043795620001,0.0,1.55109489051,32.1167883212,25.0,0.0,35.5839416058,10.9489051095,3651000.0,36081045200.0,3651000-36081045200,15.8,43.3,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36081045400,45400.0,50937.31,58523.0,39.5,3.1,4543.0,0.0,0.0,0.814439797491,0.968523002421,1.18864186661,1.07858243451,0.0,13.955535989400001,1.36473695796,1.62887959498,6.603565925599999,0.0,0.0,0.0,0.0,0.0,4.66651992076,0.0,0.0,0.0,0.0,0.0,0.0440237728373,0.0,0.3742020691170001,0.7263922518160001,0.198106977768,0.286154523443,0.396213955536,0.5502971604670001,0.0,3.45586616773,5.635042923180001,12.898965441300001,1.23266563945,70.9443099274,9.33303984151,3651000.0,36081045400.0,3651000-36081045400,10.5,34.2,19.4,9.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36081045500,45500.0,248177.2,47620.0,35.7,3.07,14205.0,4.02675114396,0.520943329813,5.93453009504,0.0,4.68848996832,0.922210489264,0.0,0.753255895811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65469904963,1.25307990144,0.359028511088,0.0,0.0,0.0,0.8940513903560001,0.0,0.0,1.16156282999,0.0,0.879971840901,1.20380147835,2.40760295671,3.87187609996,1.00668778599,1.88665962689,30.7778951074,52.52375923970001,0.5843013023579999,5.76557550158,28.9264343541,3651000.0,36081045500.0,3651000-36081045500,12.9,34.9,32.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
36081045600,45600.0,21839.73,81750.0,36.0,4.3,1368.0,0.0,0.804093567251,4.38596491228,0.0,0.0,0.584795321637,0.0,16.4473684211,0.0,12.134502924000001,11.769005847999999,0.0,1.38888888889,0.0,0.0,0.0,2.26608187135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511695906433,0.0,1.6081871344999998,0.511695906433,0.0,0.0,0.0,1.16959064327,2.70467836257,12.4269005848,0.0,78.50877192979999,7.7485380117,3651000.0,36081045600.0,3651000-36081045600,10.5,36.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36081045700,45700.0,52189.68,53313.0,36.3,3.17,3033.0,6.5611605671,0.692383778437,1.08803165183,0.0,3.7586547972300006,3.82459610946,0.0,3.59380151665,0.0,42.532146389699996,10.847345862200001,0.989119683482,5.20936366634,0.0,2.17606330366,0.0,0.7912957467849999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527530497857,0.0,0.428618529509,0.0,0.824266402901,0.0,0.0,0.0,10.517639301,0.230794592812,0.5605011539729999,75.8984503792,20.705572040899998,3651000.0,36081045700.0,3651000-36081045700,9.5,33.9,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
36081045800,45800.0,23716.12,69063.0,34.2,3.39,2246.0,0.53428317008,0.222617987533,3.16117542297,0.0,0.222617987533,1.64737310775,0.0,9.75066785396,0.26714158504,5.92163846839,1.38023152271,0.0,0.0,0.0,0.712377560107,0.0,7.3018699911,0.0,0.0,0.0,0.0,0.0,0.0,0.890471950134,0.445235975067,0.0,0.6678539626,1.91451469279,0.578806767587,0.0,0.445235975067,2.04808548531,14.158504007100001,13.9358860196,0.0,60.4630454141,9.39447907391,3651000.0,36081045800.0,3651000-36081045800,10.7,35.6,18.7,11.0,5.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36081045900,45900.0,69836.55,56333.0,37.3,3.5,3691.0,12.083446220499999,0.29802221620200003,2.27580601463,1.19208886481,3.54917366567,6.15009482525,0.0,1.38173936603,0.0,37.1444053102,5.06637767543,0.0,0.0,0.0,0.0,0.0,2.60092115958,0.866973719859,0.406393931184,0.596044432403,0.0,0.0,0.0,0.352208073693,0.0,0.0,0.270929287456,1.70685451097,0.24383635871,0.0,0.0,0.0,21.728528854,1.08371714982,0.596044432403,52.9124898402,43.0777567055,3651000.0,36081045900.0,3651000-36081045900,11.9,36.5,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
36081046000,46000.0,69294.84,28701.0,35.2,3.13,5920.0,4.003378378380001,0.320945945946,5.81081081081,6.77364864865,1.58783783784,0.0,0.0,12.7364864865,0.0,1.77364864865,1.79054054054,0.0,0.0,0.0,0.0,0.0,1.03040540541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135135135135,0.0,0.202702702703,0.0,0.0,0.0,0.0,3.75,9.59459459459,17.3817567568,0.6587837837839999,49.22297297300001,27.398648648600002,3651000.0,36081046000.0,3651000-36081046000,14.5,37.2,28.5,13.0,7.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
36081046100,46100.0,63523.2,47404.0,36.3,3.84,2767.0,14.3838091796,0.0,4.44524756053,0.0,3.90314419949,0.0,0.0,3.65016263101,0.0,35.019877123200004,5.204192265990001,0.0,0.0,0.0,0.0,0.0,1.15648717022,0.0,0.252981568486,0.0,0.397542464763,0.0,0.0,0.180701120347,0.0361402240694,0.397542464763,0.397542464763,0.505963136971,0.0,0.144560896278,1.80701120347,0.180701120347,26.6353451391,1.22876761836,0.180701120347,47.632815323500004,40.9468738706,3651000.0,36081046100.0,3651000-36081046100,11.3,35.0,23.1,9.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
36081046200,46200.0,90213.41,45192.0,31.7,3.84,8694.0,2.4154589372,0.06901311249139999,5.80860363469,3.10559006211,2.7490223142400003,4.86542443064,0.172532781228,17.4948240166,0.0,0.287554635381,2.04738900391,0.0,0.0,0.0,0.0,0.0,3.54267310789,0.0,0.0,0.0,0.0,0.0,0.0,0.621118012422,0.161030595813,0.06901311249139999,0.908672647803,0.24154589372,0.0,0.06901311249139999,0.0,5.63607085346,15.5624568668,11.870255348499999,0.0805152979066,38.6243386243,37.5201288245,3651000.0,36081046200.0,3651000-36081046200,13.0,36.0,26.9,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36081046300,46300.0,65360.99,43456.0,34.8,3.99,4023.0,13.2985334328,0.223713646532,8.77454635844,0.0,5.02112851106,1.91399453144,0.0,4.3748446433,0.0,22.346507581399997,0.0,0.0,0.0,0.0,0.0,0.0,2.58513547104,0.198856574696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397713149391,0.0,0.0,0.0,0.0,0.0,1.24285359185,42.431021625700005,1.69028088491,0.0,33.6564752672,60.5269699229,3651000.0,36081046300.0,3651000-36081046300,10.9,33.6,26.2,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
